scenarioNum,condition,panel1,panel2,panel3,panel4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,auth,bias,identitySP,identityAD,proposition,targetWord,focusParticle,QUD,authorityCondition,prevBeliefSP,prevBeliefAD,scenarioNumOLD
6,c,target-06-lemon-c-SP-pos-1,target-06-lemon-c-SP-pos-2,target-06-lemon-c-SP-pos-3,target-06-lemon-c-SP-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,pos,gardener,person on the right,only the lemon needs watering,lemon,only,how often do I water my apple and lemon trees?,SP > AD,p,neutral,7
6,d,target-06-lemon-d-SP-neg-1,target-06-lemon-d-SP-neg-2,target-06-lemon-d-SP-neg-3,target-06-lemon-d-SP-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,neg,gardener,person on the right,only the lemon needs watering,lemon,only,how often do I water my apple and lemon trees?,SP > AD,¬p,neutral,7
7,a,target-07-monet-a-AD-pos-1,target-07-monet-a-AD-pos-2,target-07-monet-a-AD-pos-3,target-07-monet-a-AD-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,pos,person on the right,docent / gallery owner (in suit),only Monet used them,monet,only,who used colors like these?,AD > SP,p,neutral,8
7,b,target-07-monet-b-AD-neg-1,target-07-monet-b-AD-neg-2,target-07-monet-b-AD-neg-3,target-07-monet-b-AD-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,neg,person on the right,docent / gallery owner (in suit),only Monet used them,monet,only,who used colors like these?,AD > SP,¬p,neutral,8
7,c,target-07-monet-c-SP-pos-1,target-07-monet-c-SP-pos-2,target-07-monet-c-SP-pos-3,target-07-monet-c-SP-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,pos,docent / gallery owner (in suit),person on the right,only Monet used them,monet,only,who used colors like these?,SP > AD,p,neutral,8
7,d,target-07-monet-d-SP-neg-1,target-07-monet-d-SP-neg-2,target-07-monet-d-SP-neg-3,target-07-monet-d-SP-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,neg,docent / gallery owner (in suit),person on the right,only Monet used them,monet,only,who used colors like these?,SP > AD,¬p,neutral,8
8,a,target-08-madison-a-AD-pos-1,target-08-madison-a-AD-pos-2,target-08-madison-a-AD-pos-3,target-08-madison-a-AD-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,pos,shopper,cheese shop owner,it’s only from Madison,madison,only,where is this cheese from?,AD > SP,p,positive,9
8,b,target-08-madison-b-AD-neg-1,target-08-madison-b-AD-neg-2,target-08-madison-b-AD-neg-3,target-08-madison-b-AD-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,neg,shopper,cheese shop owner,it’s only from Madison,madison,only,where is this cheese from?,AD > SP,¬p,positive,9
8,c,target-08-madison-c-SP-pos-1,target-08-madison-c-SP-pos-2,target-08-madison-c-SP-pos-3,target-08-madison-c-SP-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,pos,cheese shop owner,shopper,it’s only from Madison,madison,only,where is this cheese from?,SP > AD,p,neutral,9
8,d,target-08-madison-d-SP-neg-1,target-08-madison-d-SP-neg-2,target-08-madison-d-SP-neg-3,target-08-madison-d-SP-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,neg,cheese shop owner,shopper,it’s only from Madison,madison,only,where is this cheese from?,SP > AD,¬p,neutral,9
9,a,target-09-benadryl-a-AD-pos-1,target-09-benadryl-a-AD-pos-2,target-09-benadryl-a-AD-pos-3,target-09-benadryl-a-AD-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,pos,person on the right,pharmacist,even Benadryl would be bad,benadryl,even,what medicines can I give to my baby? / Is Benadryl bad for my baby?,AD > SP,p,positive,10
9,b,target-09-benadryl-b-AD-neg-1,target-09-benadryl-b-AD-neg-2,target-09-benadryl-b-AD-neg-3,target-09-benadryl-b-AD-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,neg,person on the right,pharmacist,even Benadryl would be bad,benadryl,even,what medicines can I give to my baby? / Is Benadryl bad for my baby?,AD > SP,¬p,positive,10
